"year","fecal.coliform.bacteria","oxygen","pH","suspended.solids","temperature","total.persulf.nitrogen","total.phosphorus","turbidity","overall.WQI","adjusted.for.flow","Station"
1999,88,95,45,66,88,95,83,73,71,70,"45A070"
2000,96,93,47,68,82,97,94,85,74,74,"45A070"
2001,96,90,67,92,59,96,95,97,73,75,"45A070"
2002,94,95,87,82,82,96,95,88,93,90,"45A070"
2003,97,94,64,88,64,96,94,93,75,78,"45A070"
2004,93,91,65,81,64,97,100,89,78,80,"45A070"
2005,95,93,62,96,62,97,100,98,82,85,"45A070"
2006,91,93,93,73,79,95,99,82,91,88,"45A070"
2007,91,95,75,83,71,95,98,87,88,88,"45A070"
2008,96,91,70,84,76,97,99,89,85,85,"45A070"
2009,86,93,84,78,76,97,95,85,87,87,"45A070"
2010,95,93,82,83,77,97,96,89,90,87,"45A070"
2011,87,94,90,68,80,98,93,82,87,84,"45A070"
2012,97,89,59,86,69,98,97,90,81,80,"45A070"
2013,87,92,78,82,70,98,92,86,81,80,"45A070"
2014,98,93,53,85,60,98,95,91,75,78,"45A070"
2015,92,92,61,88,50,96,99,94,65,80,"45A070"
2016,95,86,70,74,58,97,94,85,77,81,"45A070"
1994,100,78,86,72,76,75,70,83,82,74,"45A110"
1995,100,82,91,54,76,67,69,62,62,68,"45A110"
1996,96,82,88,47,85,83,65,59,70,75,"45A110"
1997,100,84,77,46,84,75,30,59,65,71,"45A110"
1998,98,71,83,63,74,82,45,66,75,73,"45A110"
1999,99,88,77,48,90,73,72,67,65,68,"45A110"
2000,91,81,93,57,88,81,83,58,74,74,"45A110"
2001,99,75,80,54,63,88,85,95,67,59,"45A110"
2002,97,78,83,51,85,83,86,69,75,78,"45A110"
2003,97,81,89,65,78,90,85,74,80,79,"45A110"
2004,93,68,79,62,71,88,100,62,73,69,"45A110"
2005,90,71,77,85,69,89,100,88,84,75,"45A110"
2006,97,79,90,45,81,57,100,73,73,73,"45A110"
2007,93,78,89,63,78,87,100,66,81,78,"45A110"
2008,100,76,93,57,80,82,93,70,75,79,"45A110"
2009,94,73,91,60,79,89,93,73,77,80,"45A110"
2010,95,79,90,57,83,90,98,71,78,78,"45A110"
2011,92,84,93,38,75,85,81,59,71,73,"45A110"
2012,97,76,92,49,73,91,93,70,70,77,"45A110"
2013,93,74,97,63,63,89,80,70,69,66,"45A110"
2014,94,73,91,58,63,83,86,75,70,61,"45A110"
2015,92,70,97,55,59,87,97,74,65,61,"45A110"
2016,96,72,92,68,68,73,51,56,63,57,"45A110"
2008,98,77,91,56,73,77,91,70,NA,NA,"45J070"
2008,95,79,89,21,81,62,66,46,NA,NA,"45K050"
2008,97,74,89,78,77,77,99,85,NA,NA,"45L050"
1994,90,89,80,87,72,97,97,95,90,NA,"46A070"
1995,87,95,83,70,88,95,80,75,85,86,"46A070"
1996,99,94,77,72,77,97,87,81,87,88,"46A070"
1997,96,93,63,69,82,96,70,74,79,80,"46A070"
1998,100,92,59,79,68,96,81,86,78,78,"46A070"
1999,93,96,63,68,95,96,80,74,77,79,"46A070"
2000,92,92,80,78,83,98,91,84,91,91,"46A070"
2001,100,90,67,92,70,97,93,96,83,82,"46A070"
2002,96,95,82,82,79,98,94,92,94,93,"46A070"
2003,99,93,55,90,76,98,95,96,80,80,"46A070"
2004,96,89,56,80,69,98,100,79,81,80,"46A070"
2005,97,92,75,95,70,97,91,96,89,88,"46A070"
2006,96,95,81,72,86,96,100,84,91,92,"46A070"
2007,97,93,64,76,72,97,100,84,85,85,"46A070"
2008,100,84,56,86,73,97,98,90,83,82,"46A070"
2009,95,92,80,87,82,98,96,93,94,93,"46A070"
2010,93,95,77,87,89,97,99,95,93,92,"46A070"
2011,92,95,79,63,92,98,89,80,85,86,"46A070"
2012,99,90,56,83,76,98,95,91,83,82,"46A070"
2013,88,92,89,85,80,98,92,87,92,92,"46A070"
2014,87,92,63,87,72,98,94,92,84,83,"46A070"
2015,93,88,80,76,64,98,91,87,81,82,"46A070"
2016,92,88,85,71,75,97,88,83,88,88,"46A070"
1994,97,89,77,87,75,96,96,94,89,86,"48A070"
1995,94,94,80,75,87,95,88,76,86,87,"48A070"
1996,97,93,74,84,74,96,93,83,86,85,"48A070"
1997,88,91,83,70,81,96,74,76,81,87,"48A070"
1998,96,91,77,82,72,96,85,84,83,83,"48A070"
1999,90,93,80,71,89,96,84,73,83,87,"48A070"
2000,98,87,77,81,74,97,97,84,87,86,"48A070"
2001,97,92,72,91,70,96,96,95,78,75,"48A070"
2002,98,93,79,85,82,96,97,88,93,90,"48A070"
2003,100,90,81,88,71,96,98,91,88,85,"48A070"
2004,97,89,78,73,63,97,96,78,80,77,"48A070"
2005,99,90,83,87,70,97,100,88,90,87,"48A070"
2006,98,89,79,62,76,95,95,70,80,85,"48A070"
2007,93,86,81,58,67,96,90,70,76,79,"48A070"
2008,99,94,77,76,89,96,97,84,84,87,"48A070"
2009,98,84,75,81,60,97,94,85,81,81,"48A075"
2010,100,87,79,85,78,97,97,88,89,89,"48A075"
2011,96,91,83,70,84,97,88,72,85,88,"48A075"
2012,95,89,64,71,74,97,93,84,84,82,"48A075"
2013,91,92,85,74,80,97,88,75,84,83,"48A075"
2014,85,89,83,74,74,97,87,88,77,72,"48A075"
2015,91,86,79,44,64,97,72,67,72,73,"48A075"
2016,89,89,85,62,76,96,84,76,79,79,"48A075"
1995,93,94,80,81,97,96,91,82,88,89,"48A140"
1996,100,94,80,91,87,97,95,90,94,92,"48A140"
1997,96,95,88,71,93,97,77,81,89,92,"48A140"
1998,98,91,88,88,83,96,84,89,94,93,"48A140"
1999,88,95,77,76,97,97,85,73,83,86,"48A140"
2000,100,92,80,87,88,97,97,86,95,93,"48A140"
2001,87,92,85,93,86,96,97,98,90,88,"48A140"
2002,100,94,86,92,91,97,98,95,96,93,"48A140"
2003,99,94,81,94,83,96,96,95,95,92,"48A140"
2004,93,93,74,76,78,97,98,81,86,85,"48A140"
2005,95,92,87,86,86,97,100,94,95,93,"48A140"
2006,92,92,85,65,90,96,99,78,86,89,"48A140"
2007,88,93,79,70,85,96,96,75,83,86,"48A140"
2008,98,93,81,75,84,97,95,81,89,89,"48A140"
2009,90,91,82,85,80,97,96,86,89,88,"48A140"
2010,100,92,77,91,91,97,99,90,94,92,"48A140"
2011,95,92,81,70,93,97,87,72,85,91,"48A140"
2012,98,94,74,79,88,97,96,91,91,92,"48A140"
2013,87,93,91,78,92,97,94,82,90,90,"48A140"
2014,94,93,89,87,89,97,99,91,95,93,"48A140"
2015,92,90,87,80,84,97,96,85,92,90,"48A140"
2016,86,89,91,69,91,96,88,70,81,80,"48A140"
2008,100,82,85,76,83,97,94,81,NA,NA,"48A150"
2008,90,80,85,67,81,93,87,77,NA,NA,"48B070"
2009,81,73,81,91,69,97,95,90,NA,NA,"48D070"
1994,86,77,83,68,59,97,83,72,71,70,"49A070"
1995,87,80,80,59,64,97,76,64,73,74,"49A070"
1996,87,81,80,49,60,97,78,57,66,71,"49A070"
1997,84,78,80,55,60,97,69,59,67,77,"49A070"
1998,85,72,80,67,61,96,76,73,71,65,"49A070"
1999,88,86,77,58,71,96,75,65,75,80,"49A070"
2000,90,87,80,71,66,97,91,75,80,80,"49A070"
2001,84,73,81,84,45,98,89,87,68,60,"49A070"
2002,92,87,83,59,73,98,82,65,76,77,"49A070"
2003,81,83,84,63,56,98,88,72,71,67,"49A070"
2004,80,81,78,59,51,98,90,63,69,67,"49A070"
2005,90,72,82,75,49,98,99,83,77,71,"49A070"
2006,84,79,78,55,55,97,88,64,69,67,"49A070"
2007,81,74,81,52,53,97,85,50,58,59,"49A070"
2008,91,78,83,61,65,97,84,68,71,74,"49A070"
2009,82,67,84,60,38,98,81,67,59,59,"49A070"
2010,89,72,79,67,51,97,85,76,70,68,"49A070"
2011,87,82,84,57,64,98,78,67,75,79,"49A070"
2012,85,80,83,62,53,97,82,75,71,73,"49A070"
2013,82,81,86,64,53,98,81,74,68,68,"49A070"
2014,85,79,83,67,43,98,83,73,69,65,"49A070"
2015,84,70,80,74,47,98,88,82,64,61,"49A070"
2016,83,74,83,70,53,98,87,80,71,67,"49A070"
1995,94,79,74,92,64,96,96,93,75,75,"49A190"
1996,100,78,59,90,51,95,90,93,71,71,"49A190"
1997,100,72,77,89,56,96,82,95,77,77,"49A190"
1998,87,78,70,92,48,96,82,96,60,59,"49A190"
1999,100,73,77,89,63,95,93,95,82,82,"49A190"
2000,95,80,62,88,65,97,94,83,70,73,"49A190"
2001,93,79,75,90,44,97,89,85,61,61,"49A190"
2002,97,79,81,82,67,97,90,84,78,78,"49A190"
2003,98,81,75,88,55,97,94,87,72,71,"49A190"
2004,99,73,73,94,48,92,100,92,68,68,"49A190"
2005,95,81,79,89,54,97,100,93,78,78,"49A190"
2006,98,84,65,90,47,96,100,92,65,64,"49A190"
2007,93,79,75,89,48,96,99,87,63,63,"49A190"
2008,100,81,75,89,62,96,91,88,73,72,"49A190"
2009,92,74,43,92,34,96,91,89,59,59,"49A190"
2010,89,79,66,93,48,96,95,89,66,66,"49A190"
2011,92,78,81,94,57,97,94,93,79,79,"49A190"
2012,94,76,78,92,50,98,94,95,70,71,"49A190"
2013,99,83,72,94,43,97,95,97,64,78,"49A190"
2014,93,75,69,92,43,96,94,96,63,61,"49A190"
2015,89,78,74,92,47,97,92,95,60,62,"49A190"
2016,94,71,77,91,52,96,88,98,68,67,"49A190"
1994,94,91,77,74,73,99,94,72,80,78,"49B070"
1995,93,88,77,67,76,97,83,69,77,79,"49B070"
1996,95,90,80,50,71,97,79,56,75,80,"49B070"
1997,90,87,83,52,71,97,66,54,71,82,"49B070"
1998,96,81,77,77,64,98,80,79,78,76,"49B070"
1999,94,91,80,65,80,98,78,63,81,86,"49B070"
2000,95,91,83,67,78,98,90,73,81,82,"49B070"
2001,95,84,85,89,60,99,94,90,82,74,"49B070"
2002,88,91,88,54,84,99,85,66,74,77,"49B070"
2003,96,89,85,71,66,98,93,79,79,76,"49B070"
2004,86,88,78,60,64,99,91,64,75,75,"49B070"
2005,96,81,92,55,57,99,100,86,76,70,"49B070"
2006,90,86,85,62,68,98,92,66,75,73,"49B070"
2007,89,82,81,45,65,98,79,36,64,66,"49B070"
2008,92,87,81,66,76,98,88,70,80,82,"49B070"
2009,91,79,85,63,51,99,80,56,66,66,"49B070"
2010,95,83,79,69,73,98,89,74,83,79,"49B070"
2011,95,81,83,61,76,99,80,66,78,83,"49B070"
2012,88,86,62,66,65,99,87,78,80,75,"49B070"
2013,90,93,83,62,71,98,76,62,75,79,"49B070"
2014,91,85,85,71,58,99,88,76,81,77,"49B070"
2015,91,82,84,75,50,99,87,80,71,65,"49B070"
2016,89,83,85,75,68,99,91,82,83,78,"49B070"
1995,100,79,86,98,71,97,98,91,86,86,"53A070"
1996,98,86,77,95,72,93,90,86,85,85,"53A070"
1997,100,87,86,94,68,96,59,85,88,88,"53A070"
1998,100,79,83,100,61,94,86,95,84,84,"53A070"
1999,100,83,83,98,77,97,92,91,92,92,"53A070"
2000,100,85,76,98,76,97,100,94,89,89,"53A070"
2001,100,76,88,98,84,98,100,99,92,93,"53A070"
2002,100,79,86,100,76,97,99,97,87,87,"53A070"
2003,89,78,87,99,76,98,96,100,82,83,"53A070"
2004,100,75,91,100,72,97,100,100,87,87,"53A070"
2005,100,81,88,100,72,98,100,100,89,89,"53A070"
2006,100,80,88,98,70,96,100,96,86,85,"53A070"
2007,100,78,68,100,73,97,100,99,84,84,"53A070"
2008,100,80,85,99,70,97,99,99,86,86,"53A070"
2009,100,78,85,93,73,97,100,98,85,86,"53A070"
2010,100,76,90,97,71,97,100,100,85,85,"53A070"
2011,99,81,85,93,73,97,96,90,89,89,"53A070"
2012,95,84,87,98,76,97,99,93,92,91,"53A070"
2013,100,85,91,100,68,98,100,100,91,95,"53A070"
2014,100,83,84,98,73,98,99,99,87,95,"53A070"
2015,100,82,88,100,68,98,100,100,85,85,"53A070"
2016,100,79,89,97,75,97,100,99,89,90,"53A070"
2009,75,74,65,80,69,80,69,83,48,NA,"53C070"
2010,69,74,75,86,72,80,73,85,62,NA,"53C070"
2008,100,63,87,89,84,80,85,87,84,NA,"54A070"
2009,100,60,88,87,84,80,83,77,79,NA,"54A070"
2010,100,66,86,91,83,84,84,87,89,NA,"54A070"
2008,88,76,85,66,86,17,61,61,67,NA,"54A090"
2009,88,83,83,50,88,19,50,50,55,NA,"54A090"
2010,62,80,83,75,90,43,63,74,60,NA,"54A090"
2014,79,70,82,72,84,20,84,73,76,83,"54A090"
2015,78,67,71,79,87,1,87,87,76,NA,"54A090"
2016,70,77,81,80,86,4,88,74,77,NA,"54A090"
1994,70,92,83,82,88,44,58,81,74,74,"54A120"
1995,50,90,83,70,83,60,59,66,56,56,"54A120"
1996,78,89,70,43,80,49,49,35,52,51,"54A120"
1997,82,83,83,51,89,63,44,41,51,50,"54A120"
1998,52,89,67,72,89,68,46,74,61,61,"54A120"
1999,74,89,83,39,94,31,35,35,40,40,"54A120"
2000,76,93,80,70,94,44,40,66,60,59,"54A120"
2001,95,87,87,73,90,21,53,73,68,69,"54A120"
2002,86,89,87,50,90,35,40,47,60,59,"54A120"
2003,44,88,88,73,98,31,49,68,37,41,"54A120"
2004,87,82,91,76,94,48,70,79,83,85,"54A120"
2005,81,86,91,78,93,26,61,81,69,72,"54A120"
2006,75,84,84,54,97,16,56,49,55,55,"54A120"
2007,84,88,84,66,88,1,71,53,69,69,"54A120"
2008,83,90,83,68,81,23,58,64,61,61,"54A120"
2009,93,91,83,55,93,2,52,53,57,56,"54A120"
2010,73,87,84,75,86,15,57,78,63,63,"54A120"
2011,66,93,84,53,95,10,55,50,43,42,"54A120"
2012,59,86,81,70,79,32,87,73,70,69,"54A120"
2013,91,94,81,78,82,17,86,68,86,85,"54A120"
2014,83,85,83,80,79,5,82,80,84,84,"54A120"
2015,84,90,80,89,88,1,76,91,85,89,"54A120"
2016,84,91,81,84,85,1,84,80,89,90,"54A120"
2010,71,86,77,83,86,74,96,79,NA,NA,"54A130"
1994,80,79,83,57,81,46,78,65,66,61,"55B070"
1995,69,72,83,56,81,45,72,58,52,46,"55B070"
1996,75,76,77,56,73,46,72,58,56,56,"55B070"
1997,68,46,88,47,78,52,31,43,13,18,"55B070"
1998,81,66,83,53,78,39,53,56,47,48,"55B070"
1999,79,51,88,51,85,44,52,49,39,44,"55B070"
2000,77,76,83,55,81,45,61,53,51,52,"55B070"
2001,69,64,81,56,85,42,72,65,45,41,"55B070"
2002,72,61,90,54,85,46,66,55,52,52,"55B070"
2003,59,60,88,59,87,42,64,63,40,33,"55B070"
2004,72,58,88,59,87,46,89,73,66,57,"55B070"
2005,70,61,86,61,87,50,90,71,60,52,"55B070"
2006,58,59,87,36,85,53,60,38,24,27,"55B070"
2007,75,73,81,58,81,51,78,60,62,60,"55B070"
2008,78,72,82,54,79,48,70,57,52,60,"55B070"
2009,82,68,81,55,82,45,62,59,58,60,"55B070"
2010,85,75,81,65,79,45,69,68,65,64,"55B070"
2011,77,73,84,56,84,54,56,50,53,66,"55B070"
2012,76,77,83,53,76,48,63,59,46,50,"55B070"
2013,83,74,84,59,78,56,78,63,66,72,"55B070"
2014,84,72,84,63,76,46,81,73,65,64,"55B070"
2015,76,52,81,45,79,50,59,50,55,53,"55B070"
2016,74,74,81,62,75,51,72,63,62,66,"55B070"
1995,64,92,63,48,66,1,38,26,22,10,"56A070"
1996,71,90,50,25,43,1,28,15,13,13,"56A070"
1997,61,78,88,19,75,1,2,10,12,13,"56A070"
1998,72,89,67,52,52,1,32,29,14,5,"56A070"
1999,48,93,83,20,79,1,8,14,8,17,"56A070"
2000,68,94,76,48,59,1,28,38,24,14,"56A070"
2001,84,91,65,56,33,1,35,42,27,22,"56A070"
2002,80,81,76,41,75,1,21,28,33,44,"56A070"
2003,52,52,87,53,81,1,38,34,15,1,"56A070"
2004,74,59,78,66,68,22,64,54,47,40,"56A070"
2005,78,56,85,59,73,1,58,45,44,31,"56A070"
2006,68,64,44,33,74,1,31,22,27,34,"56A070"
2007,75,74,71,41,69,1,41,28,29,48,"56A070"
2008,84,91,77,49,75,1,35,37,39,42,"56A070"
2009,83,94,74,37,76,1,12,21,28,37,"56A070"
2010,84,82,73,56,76,1,28,24,35,34,"56A070"
2011,71,86,78,35,80,1,12,24,21,38,"56A070"
2012,87,91,63,66,59,1,39,46,31,24,"56A070"
2013,72,95,60,43,52,1,23,28,21,15,"56A070"
2014,85,92,70,66,56,1,48,44,40,33,"56A070"
2015,86,90,64,65,48,1,47,44,40,25,"56A070"
2016,81,95,64,62,49,1,42,44,33,30,"56A070"
2009,97,89,84,80,96,86,97,83,92,NA,"57A123"
2010,67,81,86,90,88,88,100,92,82,NA,"57A123"
2008,93,80,93,77,89,94,100,77,91,NA,"57A140"
2009,87,83,91,78,88,92,98,83,89,NA,"57A140"
2010,98,80,92,84,86,90,98,93,93,NA,"57A140"
2009,88,79,95,74,79,99,92,83,85,NA,"57A146"
2010,91,79,91,83,80,99,96,91,88,NA,"57A146"
2008,95,81,95,78,78,100,100,78,NA,NA,"57A148"
1994,88,77,83,87,52,100,88,93,82,84,"57A150"
1995,90,79,91,83,72,100,87,83,82,82,"57A150"
1996,95,78,80,74,78,100,89,57,82,76,"57A150"
1997,97,79,83,79,58,100,57,65,80,74,"57A150"
1998,94,77,88,77,61,100,63,84,81,78,"57A150"
1999,95,83,83,82,72,100,78,78,88,83,"57A150"
2000,84,77,74,86,63,98,89,74,82,84,"57A150"
2001,89,79,88,72,65,100,82,87,72,76,"57A150"
2002,93,79,89,83,68,100,93,75,83,80,"57A150"
2003,87,68,81,82,58,99,87,79,71,86,"57A150"
2004,94,68,96,86,59,100,99,91,82,84,"57A150"
2005,91,71,93,84,66,100,100,89,82,84,"57A150"
2006,91,69,92,86,67,97,100,82,77,83,"57A150"
2007,97,71,87,87,66,100,99,86,77,85,"57A150"
2008,99,79,95,81,75,100,100,79,88,85,"57A150"
2009,96,78,96,76,71,100,95,84,85,83,"57A150"
2010,96,78,91,86,69,100,93,90,84,84,"57A150"
2011,98,84,82,83,84,100,92,74,91,84,"57A150"
2012,100,76,94,81,61,100,99,87,84,81,"57A150"
2013,100,87,93,89,57,100,100,96,79,78,"57A150"
2014,98,75,92,79,51,94,93,84,73,71,"57A150"
2015,95,77,74,90,47,99,70,97,73,82,"57A150"
2016,95,83,92,90,71,99,100,96,88,89,"57A150"
2008,100,81,90,84,77,100,100,80,90,NA,"57A240"
2009,100,80,89,82,70,100,99,84,89,NA,"57A240"
2010,98,82,82,84,69,100,100,88,90,NA,"57A240"
1995,65,76,88,35,83,78,44,34,48,47,"59A080"
2000,55,87,78,14,65,83,35,11,38,38,"59A080"
2011,78,88,75,30,64,91,42,30,51,51,"59A080"
2012,73,88,76,28,75,84,38,31,47,47,"59A080"
2013,74,89,76,33,63,89,45,33,44,44,"59A080"
2014,77,87,74,37,59,89,47,43,46,44,"59A080"
2015,78,60,73,48,60,91,58,54,55,58,"59A080"
2016,82,90,68,35,63,76,43,42,58,58,"59A080"
2000,48,75,81,23,75,81,41,9,NA,NA,"59A110"
2008,68,94,68,49,68,83,51,40,43,NA,"59A140"
2009,68,86,75,40,62,91,49,37,44,NA,"59A140"
2010,72,84,77,48,68,90,62,41,49,NA,"59A140"
2011,86,84,90,53,84,100,70,57,74,NA,"59B200"
2012,81,90,90,56,93,100,76,66,75,NA,"59B200"
2013,75,92,89,60,88,100,73,64,75,NA,"59B200"
2014,78,86,93,65,86,100,81,70,81,NA,"59B200"
2015,83,88,88,78,89,100,81,81,88,NA,"59B200"
2016,81,89,90,58,87,100,76,66,75,NA,"59B200"
2011,70,88,75,35,81,88,60,47,NA,NA,"59C070"
1994,89,71,80,49,57,99,88,58,66,66,"60A070"
1995,86,72,70,43,72,100,75,52,64,61,"60A070"
1996,81,74,74,37,79,98,54,39,62,72,"60A070"
1997,89,70,83,41,53,100,40,47,65,70,"60A070"
1998,81,73,83,46,28,100,52,51,55,56,"60A070"
1999,90,78,80,46,60,99,74,58,71,76,"60A070"
2000,85,75,74,51,59,100,88,60,70,71,"60A070"
2001,86,75,73,60,51,100,80,74,63,61,"60A070"
2002,95,72,76,52,58,100,82,65,65,66,"60A070"
2003,91,72,74,42,57,99,82,61,64,61,"60A070"
2004,84,69,80,49,43,100,98,65,65,63,"60A070"
2005,94,75,72,58,54,100,100,74,75,70,"60A070"
2006,91,73,70,33,57,99,82,47,63,63,"60A070"
2007,96,70,75,56,55,100,100,68,62,60,"60A070"
2008,88,73,79,43,61,99,77,58,66,64,"60A070"
2009,87,67,78,49,43,100,65,61,63,60,"60A070"
2010,94,76,81,75,57,100,92,80,68,66,"60A070"
2011,89,77,81,41,65,100,69,54,68,70,"60A070"
2012,82,81,75,42,65,99,73,53,62,61,"60A070"
2013,90,77,77,36,49,100,66,54,63,62,"60A070"
2014,81,71,81,35,54,99,71,57,63,59,"60A070"
2015,83,64,75,61,45,100,87,75,51,47,"60A070"
2016,87,77,77,45,66,99,67,62,70,67,"60A070"
1994,72,78,86,87,73,100,83,94,76,72,"61A070"
1995,78,80,83,77,71,100,99,83,79,79,"61A070"
1996,77,82,86,71,82,100,100,69,81,82,"61A070"
1997,90,86,91,55,67,100,59,58,78,84,"61A070"
1998,83,74,83,73,69,100,68,79,77,76,"61A070"
1999,89,79,86,74,76,100,88,74,82,83,"61A070"
2000,84,88,75,73,78,100,100,73,84,84,"61A070"
2001,84,78,81,85,71,100,99,90,78,74,"61A070"
2002,75,78,79,72,74,100,98,80,78,80,"61A070"
2003,88,76,81,77,65,100,94,85,78,77,"61A070"
2004,90,79,83,86,64,100,100,88,81,80,"61A070"
2005,97,79,85,82,72,100,100,88,86,84,"61A070"
2006,91,80,82,73,75,100,100,80,83,83,"61A070"
2007,90,76,77,72,70,100,100,80,74,76,"61A070"
2008,82,74,84,69,67,100,100,74,72,72,"61A070"
2009,89,70,80,76,64,100,98,86,74,71,"61A070"
2010,97,71,84,75,66,100,99,81,76,75,"61A070"
2011,85,70,84,51,67,100,88,56,64,66,"61A070"
2012,83,81,84,60,77,100,100,77,79,83,"61A070"
2013,82,80,86,77,67,100,100,87,82,82,"61A070"
2014,80,72,89,67,75,100,98,82,76,76,"61A070"
2015,86,78,83,83,69,100,100,95,80,79,"61A070"
2016,94,78,88,79,77,100,99,95,86,84,"61A070"
2000,81,78,74,27,78,100,56,42,64,NA,"61B070"
2012,73,78,74,26,82,100,58,38,54,NA,"61B070"
2012,74,79,81,25,87,100,52,47,NA,NA,"61C100"
1994,100,85,74,81,54,100,98,81,79,77,"62A090"
1995,95,85,74,70,76,100,93,67,82,81,"62A090"
1998,100,78,77,67,67,99,71,64,74,76,"62A090"
1999,97,85,80,60,79,100,82,60,77,79,"62A090"
2000,100,85,80,66,72,100,96,65,82,81,"62A090"
2001,99,84,73,77,74,100,96,82,80,76,"62A090"
2002,100,87,74,68,78,100,91,63,77,79,"62A090"
2003,100,82,75,75,58,100,90,73,77,74,"62A090"
2004,100,82,79,73,69,100,100,81,84,83,"62A090"
2005,100,86,73,76,66,100,100,75,81,80,"62A090"
2006,99,84,62,60,70,100,100,71,74,71,"62A090"
2007,100,79,71,74,62,100,100,73,71,68,"62A090"
2008,92,84,77,63,78,96,93,57,74,79,"62A090"
2009,98,81,75,64,59,100,73,71,76,77,"62A090"
2010,98,82,82,69,66,100,93,66,78,79,"62A090"
2011,100,87,81,63,68,100,89,57,77,82,"62A090"
2012,87,82,74,62,74,100,93,61,76,77,"62A090"
2013,92,84,79,74,66,100,98,74,79,77,"62A090"
2014,98,80,77,63,67,100,94,66,74,76,"62A090"
2015,96,77,76,81,54,100,100,85,77,79,"62A090"
2016,96,83,80,80,72,100,98,88,88,86,"62A090"
1994,95,87,80,76,54,100,93,82,83,80,"62A150"
1995,100,86,80,74,77,100,93,70,84,83,"62A150"
1996,100,85,74,65,66,100,100,60,75,77,"62A150"
1997,99,85,77,60,65,100,51,52,76,80,"62A150"
1998,100,79,80,73,79,100,50,75,84,84,"62A150"
1999,100,84,86,76,81,100,84,73,88,89,"62A150"
2000,100,86,79,72,77,100,98,72,85,85,"62A150"
2001,100,84,78,77,75,100,96,74,83,81,"62A150"
2002,100,85,84,71,79,100,95,62,83,86,"62A150"
2003,99,84,82,78,57,100,91,71,81,80,"62A150"
2004,100,84,81,76,65,100,100,82,86,85,"62A150"
2005,100,85,81,74,68,100,100,74,84,84,"62A150"
2006,100,80,74,62,68,100,100,75,77,75,"62A150"
2007,98,79,76,77,62,100,100,72,78,75,"62A150"
2008,100,85,79,67,79,95,94,61,79,80,"62A150"
2009,100,83,79,52,66,100,94,70,72,73,"62A150"
2010,100,86,77,69,69,100,99,64,79,79,"62A150"
2011,96,88,82,63,74,96,95,59,80,85,"62A150"
2012,98,85,73,61,67,100,95,73,77,74,"62A150"
2013,100,88,74,75,59,100,100,82,77,74,"62A150"
2014,100,84,77,72,62,100,95,73,79,78,"62A150"
2015,98,82,73,78,62,100,100,84,75,79,"62A150"
2016,100,87,75,78,72,100,98,82,84,86,"62A150"
2011,79,83,82,55,77,100,68,52,NA,NA,"62B070"
